[21.00643268643135, 105.84287260615648]
[21.0064421240055, 105.84288725382956]
[21.006448282903435, 105.84290203227445]
[21.006457720477588, 105.84291667994755]
[21.00646387937552, 105.84293145839243]
[21.006476595625895, 105.84294597529376]
[21.006486132813674, 105.84295686296973]
[21.00649229171161, 105.84297164141462]
[21.00649845060954, 105.8429864198595]
[21.00650788818369, 105.8430010675326]
[21.00652060443407, 105.84301558443391]
[21.006533420298066, 105.8430263413381]
[21.006546136548437, 105.84304085823942]
[21.006552295446376, 105.84305563668431]
[21.006555175668087, 105.84307054590097]
[21.0065580558898, 105.84308545511766]
[21.006564214787733, 105.84310023356254]
